real,opt
4.18970912,1.644394623
1.30457764,1.245269818
3.119931442,0.67068271
2.687636404,0.971999766
4.904130912,0.868330274
3.224028698,0.915679244
2.719624278,1.788270157
3.097875917,0.909337757
1.543743565,1.409770588
4.559315083,0.841243798
1.443816307,0.60748914
3.708973471,1.379576116
1.880949696,0.924200186
3.120804736,0.957015358
3.271301851,1.660051091
2.393664228,1.691870457
3.511544936,1.729378708
1.654258343,1.492471887
3.038618577,1.650308291
1.951843333,2.228460141
3.299099324,1.913820174
1.827394536,0.706138625
3.13693038,0.95345531
1.892393909,0.579199642
2.308932703,0.552043013
3.301613301,1.320682932
1.2695103,0.576122142
2.767101396,1.455810099
1.730239341,0.70457012
3.544161038,1.83386988
1.82132114,1.558085598
3.820819479,1.143479035
2.935062245,1.751714443
0.789493401,0.720671361
3.430985062,2.34962846
1.84180916,1.074228181
3.054108753,0.811282292
2.57377828,1.993392001
1.907593202,1.832381789
5.032561534,1.133145483
1.157807459,1.76394042
3.088425803,1.29342965
2.852847201,2.02174307
3.278919131,1.257175102
2.560963684,0.918673295
3.125435719,1.685038571
3.580216916,0.898968223
2.139666138,1.26741658
5.323882776,0.861374092
0.981647346,0.905716206
3.5487107,1.741236871
2.887427138,1.439965529
3.878443698,1.196598147
3.026072446,1.98945378
1.077827265,1.716553047
2.053631997,1.175108932
3.169459406,1.560166944
1.494272102,1.458963166
4.363894187,1.071512229
2.025990935,1.388515288
1.772374735,0.880157319
3.08851184,2.574423105
2.444477329,1.142750903
1.112982958,0.659673572
1.520174255,1.364941433
1.957368749,1.892744395
5.038775626,1.68017574
6.182394358,1.328459362
4.931474712,1.562562396
3.55562934,1.06782927
5.367068798,0.850312662
5.994362148,1.411278732
3.46872262,2.698302189
5.111739802,1.391126422
6.439547436,1.326772532
6.295163952,1.71232481
6.288478805,1.634803736
6.421560421,0.750321931
1.906997972,1.195942752
2.678328159,0.696789037
1.479077519,0.655851707
2.380592212,0.628695077
2.710889091,1.166865036
1.836017611,1.179291758
2.023160518,1.131764869
0.856953063,0.605305974
2.193115386,1.611807723
2.848260822,1.537237252
3.433616435,0.693167486
2.404994153,1.601821152
4.571600744,1.593640808
2.389140934,0.597398244
2.364252281,1.208604355
1.506384567,0.997416114
4.28866065,0.511341402
1.920491524,1.239979864
1.96980648,0.535420531
2.904094371,1.841248537
2.237854004,0.487952292
1.472431658,0.661050023
1.248028267,0.948124566
2.074568859,1.360788062
0.805706073,0.747560586
6.220890195,1.102077911
2.05542345,0.964198684
2.704400281,1.842388643
1.632906021,0.779690651
1.617402718,0.895579934
3.564670553,1.277260202
2.019756969,1.509144701
2.63340652,1.735782417
1.992541821,1.150356864
2.001863791,1.211598036
2.609366991,2.269593692
1.998072331,2.229417016
2.764164717,0.930584563
2.280826005,2.180542559
4.959869261,2.059203052
1.301163064,0.700550027
1.636181225,1.624133683
1.199761864,0.801060728
4.031720545,1.561718742
1.863178329,0.955985884
1.640780126,1.290877439
3.378353786,2.081266241
1.554831847,0.829088358
2.490470447,1.296152631
1.127597683,0.76969373
2.204501185,1.390931218
3.670517641,1.554357686
3.981393434,1.773486875
2.776622848,1.689421744
4.545738571,2.11208758
1.386069803,1.108509377
2.820542877,1.095462631
2.606249469,1.510293479
2.096122135,1.149212414
3.695441083,1.470105099
1.300719824,1.539191338
4.406909853,0.746549119
1.021593484,1.012360797
2.747951191,1.162161954
2.300459508,2.321402013
3.125874944,1.113628547
2.35880524,0.867709229
1.489102614,0.968630185
1.064038321,1.448790798
1.513298936,0.709630462
5.676462995,0.755617983
2.756010745,1.374573773
1.829089094,0.687780499
2.483714244,2.010862278
3.036430904,1.773469968
2.889636239,1.368908311
3.738851528,1.46826485
2.148976621,1.641965847
5.332112901,0.798115293
1.635465876,1.063926968
3.078038572,1.630386762
3.347927596,1.765583617
3.677770428,1.24745826
2.436206753,1.555321013
1.239315698,1.020196357
0.921947398,0.862587701
1.377162525,1.611871641
6.785898766,1.498141121
3.430746769,1.10605041
1.766053195,1.122935267
2.963406566,1.671878723
3.828224831,1.821747027
1.156705242,0.969232291
1.888649353,0.688957842
4.840579252,1.35719218
2.663146932,1.134440058
0.895470171,0.713661028
4.073467742,1.499634553
2.517524296,1.046693296
2.777965841,1.184049745
2.023974204,0.657590844
3.188861234,1.240854787
4.546738199,0.903061018
4.742463642,1.107207273
3.740040456,1.512543144
3.959332704,1.733193279
2.170594885,0.734242909
3.804028518,0.773641523
3.379512219,1.382632234
1.024803636,0.950695701
3.758656228,1.199505757
4.675142758,0.903663124
1.829663535,1.302443813
2.40142983,1.829363746
0.834458437,1.493194824
3.433786152,1.53530871
1.797593191,1.978195201
1.73160784,0.81174385
2.117717571,2.71207589
1.600939768,1.317138322
1.60154592,0.908824829
1.694365803,1.801105419
2.332823896,2.354768916
1.312376064,0.750746063
5.327468268,1.381475855
1.213342683,1.876306541
0.924892246,1.116613118
1.084110896,2.366135916
2.068633174,1.564793066
1.783111955,1.416505613
2.255394277,2.203919469
2.996863301,1.81544937
0.855866568,1.265825836
4.218971263,0.863927121
1.365914999,0.822989792
3.537350607,0.795833163
2.474472379,1.061644838
1.535483717,0.819912292
2.778817018,2.165053859
2.316001007,0.791036567
1.409946807,1.160894941
2.643806202,1.666087368
2.616196946,1.459225441
1.499085966,0.758914504
5.7349406,0.804902026
2.390450312,1.102014566
2.074834558,0.743555416
2.872223517,1.53042049
1.987316187,1.43769673
1.632493007,1.006942885
2.206566751,1.554423002
2.73899655,1.361405778
1.842722979,1.00806576
2.733454084,2.06909176
2.557474371,1.45525381
2.027631082,1.069590334
2.612516077,1.933454778
2.744427339,2.348374659
2.96556736,1.804798326
1.591484153,1.545503496
1.946787068,1.548504218
3.244261495,2.510783442
3.113120628,2.741390938
3.647784584,1.974791137
3.188363136,2.480033606
3.8168773,2.592780069
1.143497431,1.437549141
2.714759023,2.017184392
1.267152398,1.114288654
2.228778404,1.391687243
3.137738457,2.602165841
3.917260682,2.541307621
2.665273394,1.919641399
1.882077302,2.309315417
3.232483759,1.834972709
1.181227394,1.904734744
3.27817473,0.803582234
1.311351612,0.762644903
2.610774261,1.440588299
2.797337069,1.558599907
0.831663633,1.426954625
2.529481015,2.147165435
0.762476271,1.262586365
1.289791301,2.01716934
2.81150142,2.460619567
3.283588067,1.691260267
1.828286129,1.688314751
5.234126662,1.613952732
1.055312867,1.289486601
1.814814453,1.536208885
1.982108545,1.236178171
1.057151568,1.638606046
2.45894266,1.917723527
3.026682356,2.18077504
2.080080427,1.860158973
1.20636919,1.636864668
1.560815935,0.955889315
2.158100734,1.202489857
1.898953462,1.397409275
3.832574407,1.428299529
2.032574422,0.86752654
1.283194922,1.525342948
3.301987502,2.045038592
2.449209819,0.86444904
1.884080191,2.11261565
1.575650209,1.073182502
2.991866627,1.531718209
3.787648485,2.142953589
4.10018573,2.104625389
3.298080036,1.463778455
3.586002392,1.834847831
1.283634519,1.475208915
3.154523398,1.299671937
2.360162672,1.712398667
1.059050215,1.058020628
3.249212683,1.882571101
4.1792346,2.298754947
1.155088005,1.677474739
2.252165723,1.052602509
2.679459195,1.060770951
1.51624722,1.307371493
1.718626609,1.000426063
1.868431033,0.655888984
3.342800978,2.009711394
1.966576953,1.47354419
1.756929759,1.505889839
3.365028584,2.276271653
1.760080018,0.671990224
2.452963458,2.081253872
0.628579079,1.105396685
2.355128954,0.857336871
3.536867227,1.351667357
4.05500877,2.254497597
2.851911084,1.333694608
4.506265467,1.99298742
0.773595493,1.672495772
2.640546448,1.048730599
2.068752214,2.223951763
0.901132589,0.865561812
3.259791026,1.606611238
3.971023775,2.013075258
1.585945853,1.301988345
1.85162181,1.078341169
2.522862539,1.484669859
1.622487381,2.12503875
1.105766178,2.014416377
0.994791602,1.207327861
