TRUE,opt
3.446519984,1.644394623
1.776344561,1.245269818
3.173594177,0.67068271
2.215851981,0.971999766
4.904130912,0.868330274
3.429489758,0.915679244
2.12235718,1.788270157
3.205635662,0.909337757
0.366878727,1.409770588
3.786607981,0.841243798
0.433704969,0.60748914
3.702566677,1.379576116
1.718167629,0.924200186
2.436411295,0.957015358
2.04227814,1.660051091
1.438923209,1.691870457
2.519444383,1.729378708
0.850940656,1.492471887
3.113599203,1.650308291
1.107113364,2.228460141
1.582466429,1.913820174
0.531507291,0.706138625
3.069853417,0.95345531
1.767172883,0.579199642
2.159282288,0.552043013
2.115868616,1.320682932
0.943716059,0.576122142
1.210784869,1.455810099
1.145643924,0.70457012
3.547675295,1.83386988
1.22592822,1.558085598
3.205074102,1.143479035
1.451516448,1.751714443
0.854751426,0.720671361
1.395707706,2.34962846
1.473091986,1.074228181
3.073385755,0.811282292
2.807596837,1.993392001
1.545865453,1.832381789
4.895886028,1.133145483
1.244387399,1.76394042
3.025491696,1.29342965
1.849810801,2.02174307
3.000033333,1.257175102
2.334137957,0.918673295
3.560702178,1.685038571
3.517911312,0.898968223
1.92,1.26741658
5.346082678,0.861374092
1.561601742,0.905716206
3.443965737,1.741236871
2.438544648,1.439965529
3.556135543,1.196598147
2.68069021,1.98945378
0.739256383,1.716553047
2.157985171,1.175108932
3.276156284,1.560166944
1.00124922,1.458963166
4.156067853,1.071512229
0.883232699,1.388515288
1.976512079,0.880157319
1.489160838,2.574423105
2.285694643,1.142750903
1.163786922,0.659673572
1.280702932,1.364941433
1.544312145,1.892744395
5.024191477,1.68017574
6.182394358,1.328459362
5.118486104,1.562562396
3.55562934,1.06782927
5.333001031,0.850312662
5.275281983,1.411278732
4.910804415,2.698302189
4.727578661,1.391126422
5.707889277,1.326772532
6.207914304,1.71232481
6.558818491,1.634803736
6.116404172,0.750321931
0.995439601,1.195942752
2.680037313,0.696789037
1.60003125,0.655851707
2.411410376,0.628695077
1.92418814,1.166865036
1.35070352,1.179291758
0.883289307,1.131764869
0.513225097,0.605305974
1.656321225,1.611807723
2.717719632,1.537237252
3.317845687,0.693167486
2.215987365,1.601821152
4.573554416,1.593640808
2.083866598,0.597398244
2.310194797,1.208604355
1.209504031,0.997416114
4.091760013,0.511341402
1.186128155,1.239979864
2.087007427,0.535420531
1.081203034,1.841248537
2.011218536,0.487952292
1.518222645,0.661050023
1.182032148,0.948124566
1.818268407,1.360788062
0.969226496,0.747560586
5.952730466,1.102077911
1.793989967,0.964198684
1.974689849,1.842388643
1.869144189,0.779690651
1.58113883,0.895579934
3.350432808,1.277260202
1.744305019,1.509144701
2.234748308,1.735782417
0.823468275,1.150356864
1.567450159,1.211598036
2.167233259,2.269593692
2.095638328,2.229417016
2.778920654,0.930584563
2.147673159,2.180542559
4.788830755,2.059203052
1.076150547,0.700550027
1.427200056,1.624133683
0.693541635,0.801060728
3.905752168,1.561718742
1.808867049,0.955985884
1.790809873,1.290877439
2.168363438,2.081266241
0.772593036,0.829088358
1.654116078,1.296152631
0.908019824,0.76969373
1.424254191,1.390931218
3.290121578,1.554357686
3.703619851,1.773486875
2.394681607,1.689421744
4.531280172,2.11208758
1.259880947,1.108509377
2.47396443,1.095462631
2.228003591,1.510293479
2.614459791,1.149212414
3.206883222,1.470105099
0.965194281,1.539191338
4.394246238,0.746549119
0.620483682,1.012360797
2.506970283,1.162161954
1.554252232,2.321402013
2.621621636,1.113628547
1.792456415,0.867709229
0.739256383,0.968630185
0.965194281,1.448790798
0.788733161,0.709630462
5.87,0.755617983
2.417126393,1.374573773
1.158835623,0.687780499
2.063879841,2.010862278
2.739123948,1.773469968
2.915150082,1.368908311
2.866217019,1.46826485
1.408864791,1.641965847
4.778085391,0.798115293
1.110900536,1.063926968
2.847349645,1.630386762
1.753282636,1.765583617
2.871515279,1.24745826
2.134385157,1.555321013
0.221359436,1.020196357
0.776208735,0.862587701
1.062261738,1.611871641
6.205449218,1.498141121
2.618892896,1.10605041
1.053850084,1.122935267
2.076270695,1.671878723
3.138678066,1.821747027
0.584893153,0.969232291
0.825772366,0.688957842
3.718521211,1.35719218
1.426499211,1.134440058
2.062498485,0.713661028
1.786253062,1.499634553
0.879659025,1.046693296
1.340373082,1.184049745
0.933488082,0.657590844
1.280390565,1.240854787
2.932882541,0.903061018
3.337019628,1.107207273
2.104613979,1.512543144
4.474080911,1.733193279
1.133225485,0.734242909
2.198499488,0.773641523
1.968476568,1.382632234
0.413400532,0.950695701
2.374384131,1.199505757
2.788942452,0.903663124
1.885444245,1.302443813
2.291593332,1.829363746
1.008414597,1.493194824
3.814039853,1.53530871
1.053422992,1.978195201
1.928419042,0.81174385
0.76065761,2.71207589
1.766182324,1.317138322
1.444783721,0.908824829
1.298768648,1.801105419
1.944659353,2.354768916
1.063672882,0.750746063
5.628978593,1.381475855
1.511026141,1.876306541
0.326190129,1.116613118
1.151911455,2.366135916
2.236269215,1.564793066
1.18393412,1.416505613
1.184989451,2.203919469
1.945507646,1.81544937
1.750599897,1.265825836
4.297848299,0.863927121
1.438957956,0.822989792
3.406258945,0.795833163
1.579683513,1.061644838
1.382931669,0.819912292
1.972485741,2.165053859
2.120636697,0.791036567
0.870114935,1.160894941
2.581879161,1.666087368
2.707655813,1.459225441
1.394668419,0.758914504
5.760651005,0.804902026
2.308441032,1.102014566
2.119457478,0.743555416
2.79510286,1.53042049
1.702762461,1.43769673
1.897208476,1.006942885
2.378634062,1.554423002
1.538603263,1.361405778
2.056039883,1.00806576
1.934373284,2.06909176
2.440266379,1.45525381
2.061552813,1.069590334
2.653262143,1.933454778
2.315037797,2.348374659
2.292880285,1.804798326
1.336600165,1.545503496
1.425938288,1.548504218
2.531659535,2.510783442
2.932388105,2.741390938
3.563425318,1.974791137
2.824623869,2.480033606
4.00615776,2.592780069
0.968968524,1.437549141
2.255504378,2.017184392
0.921954446,1.114288654
2.015241921,1.391687243
2.77459907,2.602165841
2.903532331,2.541307621
1.841982628,1.919641399
1.951127879,2.309315417
3.097708831,1.834972709
1.089311709,1.904734744
3.196326016,0.803582234
0.695413546,0.762644903
2.933359848,1.440588299
1.035084538,1.558599907
1.035615759,1.426954625
0.760065787,2.147165435
1.163658025,1.262586365
0.744378936,2.01716934
2.081850139,2.460619567
2.514040572,1.691260267
1.23616342,1.688314751
5.083512565,1.613952732
1.155378726,1.289486601
1.335702063,1.536208885
1.573403953,1.236178171
1.22,1.638606046
1.552546296,1.917723527
1.922732431,2.18077504
0.905151921,1.860158973
1.117720895,1.636864668
1.238951169,0.955889315
1.894412838,1.202489857
1.336600165,1.397409275
3.633978536,1.428299529
1.426359001,0.86752654
2.068453529,1.525342948
1.762186142,2.045038592
1.48,0.86444904
1.305756486,2.11261565
1.205404496,1.073182502
1.751856158,1.531718209
2.895513771,2.142953589
3.3080659,2.104625389
2.314519389,1.463778455
3.957650818,1.834847831
1.162239218,1.475208915
2.315599274,1.299671937
1.785637141,1.712398667
0.929139387,1.058020628
2.379768896,1.882571101
2.789587783,2.298754947
0.623698645,1.677474739
2.01841522,1.052602509
1.951127879,1.060770951
1.525417976,1.307371493
1.157108465,1.000426063
0.05,0.655888984
3.487262537,2.009711394
1.767172883,1.47354419
2.209637979,1.505889839
2.113504199,2.276271653
0.394461658,0.671990224
1.45361618,2.081253872
0.570087713,1.105396685
1.124722188,0.857336871
3.077206525,1.351667357
3.556135543,2.254497597
2.149278949,1.333694608
5.023445033,1.99298742
1.028785692,1.672495772
2.097617696,1.048730599
2.004220547,2.223951763
0.660681466,0.865561812
2.608236952,1.606611238
2.917293266,2.013075258
0.798373346,1.301988345
1.90010526,1.078341169
0.856169292,1.484669859
1.964510117,2.12503875
1.07893466,2.014416377
1.32438665,1.207327861
